market,status,country_code,state_code,region,city,funding_rounds,funding_total_usd,funded_quarter
News,acquired,USA,NY,New York City,New York,1,1750000,2013-Q4
Tourism,operating,USA,TX,Dallas,Fort Worth,2,60000,2014-Q1
Software,operating,USA,NC,NC - Other,Connellys Springs,1,0,2012-Q4
Health and Wellness,operating,USA,CA,Los Angeles,Los Angeles,1,0,2013-Q1
Health and Wellness,operating,USA,NJ,Newark,Iselin,1,1750000,2011-Q1
E-Commerce,operating,USA,MD,Baltimore,Woodbine,4,2050000,2011-Q4
Search,operating,USA,OR,"Portland, Oregon",Lake Oswego,1,40000,2011-Q4
Curated Web,acquired,USA,CA,SF Bay Area,San Francisco,2,2535000,2012-Q1
Analytics,acquired,USA,CA,SF Bay Area,San Francisco,2,1250000,2010-Q4
Software,operating,USA,NY,New York City,New York,1,35000000,2010-Q4
Fashion,operating,CAN,ON,Toronto,Mississauga,1,0,2010-Q2
Enterprise Software,operating,USA,AL,Huntsville,Huntsville,1,1800000,2010-Q3
Sports,operating,USA,IL,Chicago,Chicago,1,0,2013-Q3
Real Estate,operating,USA,TX,TX - Other,Amarillo,1,0,2012-Q1
E-Commerce,acquired,USA,CA,Los Angeles,West Hollywood,1,0,2013-Q2
Software,operating,USA,WA,Seattle,Seattle,1,199957,2011-Q4
Games,operating,USA,FL,Orlando,Lake Mary,1,50000,2011-Q1
Software,acquired,USA,MA,Boston,Bedford,1,14000000,2011-Q3
Designers,operating,USA,IL,Chicago,Chicago,1,2500000,2010-Q4
Lifestyle,closed,USA,WA,Seattle,Kirkland,1,0,2013-Q3
E-Commerce,closed,USA,CA,"Orange County, California",Santa Ana,1,50000,2010-Q1
Video Chat,operating,USA,PA,Philadelphia,Philadelphia,1,0,2013-Q4
Software,operating,USA,WA,Seattle,Seattle,1,1450000,2013-Q4
Health and Wellness,operating,USA,CA,SF Bay Area,San Francisco,1,30000000,2012-Q4
Social Media,operating,USA,NH,"Manchester, New Hampshire",Hampton Falls,1,500000,2014-Q4
Manufacturing,operating,USA,TX,Houston,Houston,1,30000,2014-Q3
E-Commerce,operating,USA,NY,New York City,New York,4,117000000,2012-Q2
E-Commerce,operating,USA,NY,"Albany, New York",Saratoga Springs,1,750000,2011-Q1
Biotechnology,operating,USA,MD,"Washington, D.C.",Rockville,1,150000,2014-Q1
Big Data,operating,USA,CA,SF Bay Area,San Francisco,1,5050000,2014-Q2
Biotechnology,operating,USA,NY,NY - Other,Clarence,6,15034750,2014-Q2
Sports,operating,USA,FL,Florida's Space Coast,Rockledge,1,0,2012-Q3
Hardware + Software,operating,USA,NY,New York City,New York,1,600000,2010-Q3
Clean Technology,operating,USA,MD,Salisbury,Cambridge,1,16000000,2010-Q1
Software,closed,USA,NY,"Rochester, New York",Rochester,1,50000,2014-Q1
Software,operating,USA,IN,Indianapolis,Indianapolis,1,200000,2014-Q2
Tourism,operating,USA,CA,SF Bay Area,Stanford,1,0,2011-Q4
E-Commerce,closed,USA,CO,Denver,Boulder,1,118000,2010-Q2
Software,operating,USA,CA,SF Bay Area,San Pablo,1,250000,2012-Q3
Corporate IT,operating,USA,WA,Seattle,Seattle,4,37644420,2014-Q3
Messaging,operating,USA,IL,Chicago,Schaumburg,1,939000,2011-Q4
Software,operating,USA,MD,Baltimore,Hanover,6,95875000,2011-Q1
Biotechnology,operating,USA,CA,SF Bay Area,Menlo Park,4,78089000,2011-Q4
Transportation,operating,USA,CO,Denver,Denver,1,0,2011-Q2
Finance,operating,USA,IL,Chicago,Chicago,1,500000,2014-Q1
Advertising,operating,USA,NY,New York City,New York,5,25654560,2013-Q2
Consumer Electronics,operating,USA,PA,Pittsburgh,Pittsburgh,1,17800000,2012-Q4
Software,operating,CAN,ON,Toronto,Whitby,1,7650000,2011-Q3
Artificial Intelligence,operating,CAN,ON,Ottawa,Ottawa,2,4100000,2014-Q2
Software,operating,USA,MI,Detroit,Troy,1,0,2012-Q4
Bitcoin,operating,USA,CA,SF Bay Area,Sunnyvale,1,25000,2012-Q3
Electronic Health Records,closed,USA,MA,Boston,West Roxbury,2,500000,2012-Q3
Customer Service,operating,USA,MD,"Washington, D.C.",Rockville,2,5740000,2013-Q3
