year,acquired,closed,operating,funding_total
2000,405824848,80463977,2950322757,3524228581
2001,333756185,236398616,2329839690,3102046491
2002,289817115,55107348,2899927911,3271702374
2003,333409046,95872206,2819490696,3455485333
2004,340957464,73281975,4723747206,5158677851
2005,6555702983,106474443,9668086210,16572829112
2006,878613055,670893535,40369682070,42080256130
2007,2386248607,716349919,17252316336,20691351125
2008,6676441023,921415583,36585621388,45269148354
2009,5228952379,1523493402,41604778572,49525299376
2010,7874998816,3143105687,61120916945,75026798429
2011,10130203562,2958936797,82531587738,97802961214
2012,8728236534,2781959325,65166883849,78119446131
2013,11460417005,2146634374,73557222168,88862911075
2014,13116449915,2350630965,88238512829,1.05387E+11
